1,G,Mercu Emiloe,0,75,95,50,50,65,80,80
2,D,Mettoe Di Scoglou,0,65,95,50,50,70,20,75
3,D,Pholoppi Mixis,1,75,90,50,50,65,20,65
4,D,Crostoan Zepete,0,80,95,50,50,65,20,65
5,M,Roccerdu Muntulovu ,0,78,95,50,50,35,20,65
6,M,Sulliy Muntero,2,77,90,50,50,35,20,75
7,M,Nogil Di Jung,0,67,95,50,50,35,20,80
8,M,Arby Imenailsun,0,58,90,50,50,35,20,95
9,A,Stiphen Il Sheerewy,0,82,95,50,50,35,20,80
10,A,Merou Belutillo,2,88,95,50,50,35,20,98
11,A,Keka,0,85,95,50,50,35,20,80
12,G,Chrostoen ebboeto,0,0,95,50,50,35,65,80
13,D,Ognezou Obeti,0,0,80,50,50,35,20,80
14,D,Kevon Cunstent,0,0,95,50,50,35,20,75
15,M,Entunou Nucironu,0,0,95,50,50,35,20,75
16,A,Goempeulu Pezzono,1,0,95,50,50,35,20,75
