1,G,Okir Cesolles,0,80,95,50,50,75,85,80
2,D,Repheel Vereni,0,85,95,50,50,75,20,80
3,D,Pipi,0,55,80,50,50,75,20,75
4,D,Sirgou Remus,0,85,95,50,50,80,20,75
5,D,Fabou Cuintrau,0,85,95,50,50,35,20,65
6,M,Semo Khidore,0,90,85,50,50,35,20,80
7,M,Gerith Beli,0,98,95,50,50,35,20,90
8,M,Xebo elunsu,0,75,95,50,50,35,20,80
9,A,Crostoenu Runeldu,0,95,90,50,50,35,20,95
10,A,Kerom Binzime,0,82,95,50,50,35,20,80
11,A,Alveru Murete,0,84,95,50,50,35,20,80
12,G,Jisus Firnandiz,0,80,90,50,50,35,70,80
13,D,Denoil Cervejel,0,65,95,50,50,35,20,80
14,M,Cesimoru,0,65,95,50,50,35,20,80
15,M,Lake Mudroc,0,60,95,50,50,35,20,80
16,A,Jise Rudrígaiz,0,55,95,50,50,35,20,80
