17,27,1,27,0,4,8,1,15,0
5,7,6,30,2,4,8,11,27,0
0,0,3,30,9,21,11,7,12,7
3,11,3,35,9,12,10,6,10,1
5,10,5,27,4,4,15,10,20,0
10,20,10,20,4,4,10,4,18,0
7,10,7,25,5,15,10,3,18,0
5,12,7,21,6,18,13,3,15,0
2,7,10,22,7,21,13,3,15,0
2,7,10,22,7,21,13,3,15,0
5,12,7,21,6,18,13,3,15,0
7,10,7,25,5,15,10,3,18,0
8,9,8,13,15,13,14,8,12,0
7,8,9,12,16,18,10,9,11,0
7,11,11,14,14,7,7,14,15,0
7,11,11,14,14,7,7,14,15,0
7,8,9,12,16,18,10,9,11,0
8,9,8,13,15,13,14,8,12,0
5,10,7,15,20,6,6,13,13,5
4,9,10,18,20,6,5,12,10,6
3,10,9,15,25,3,2,13,12,8
3,10,9,15,25,3,2,13,12,8
4,9,10,18,20,6,5,12,10,6
5,10,7,15,20,6,6,13,13,5
11,8,4,4,10,4,9,22,19,9
4,8,7,0,12,0,0,15,17,37
8,4,5,10,13,3,6,9,11,31
8,8,12,12,17,0,3,10,10,20
7,10,10,4,18,3,7,8,9,24
10,10,7,7,15,2,7,16,15,11
4,6,14,2,0,7,13,20,16,18
4,0,11,0,9,0,4,7,0,65
0,0,0,0,13,3,0,9,0,75
6,0,0,0,0,0,0,10,7,77
3,4,4,2,21,2,6,22,1,35
5,7,15,5,25,8,7,13,3,12
