1,"G","DO",0,100,85,90,50,65,20,85
2,"D","WHILE",0,100,95,100,50,65,20,80
3,"D","IF",0,100,90,100,50,65,20,80
4,"D","NEXT",0,100,95,100,50,70,20,80
5,"D","FOR",0,100,90,100,50,65,20,80
6,"M","DIM",0,100,90,100,50,35,20,75
7,"M","AS",0,100,95,100,50,35,20,75
8,"M","ANY",0,100,95,100,50,35,20,80
9,"A","PTR",0,100,95,100,50,35,20,80
10,"A","CASE",0,100,95,100,50,35,20,85
11,"A","SELECT",0,100,95,100,50,35,20,80
12,"G","INPUT",0,100,95,100,50,35,80,80
13,"D","PRINT",0,100,90,100,50,35,20,80
14,"M","DRAW",0,100,95,100,50,35,20,80
15,"M","EXIT",0,100,95,100,50,35,20,80
16,"A","CONTINUE",0,100,90,100,50,35,20,80
