1,G,INVINCIBLE,0,100,95,50,50,65,20,80
2,D,Mertin Muntuye,0,100,95,50,50,70,20,80
3,D,Girerd Poque,0,85,100,50,50,65,20,80
4,D,Cerlis Payul,1,100,95,50,50,65,20,80
5,M,Cisc Febriges,0,100,95,50,50,65,20,80
6,M,Xevo,1,100,85,50,50,35,20,85
7,M,Endres onoiste,0,100,80,50,50,35,20,80
8,M,Junethen dus Sentus,0,100,95,50,50,35,20,80
9,A,Niymer,0,100,95,50,50,35,20,80
10,A,Lounil Misso,0,100,90,50,50,35,20,98
11,A,Elixos Sanchiz,0,100,95,50,50,35,20,80
12,G,Juse Menail Pontu,0,100,95,50,50,35,80,80
13,D,Merc Bertre,0,100,90,50,50,35,20,80
14,M,Sirgou Basqaits,0,100,95,50,50,35,20,80
15,M,elixendri Sung,0,100,95,50,50,35,20,80
16,A,Pidru,0,100,90,50,50,35,20,80

