1,G,Goenlaogo Baffun,0,100,95,50,50,35,85,80
2,D,Gourgou Choillono,1,67,95,50,50,65,20,80
3,D,Mertin Caciris,0,70,95,50,50,70,20,80
4,D,Ugbunne,0,75,90,75,50,65,20,80
5,D,Peulu Di Cigloi,1,60,95,50,50,65,20,90
6,M,Somuni Pipi,0,70,65,50,50,35,20,80
7,M,Cleadou Merchosou,1,72,95,50,50,35,20,90
8,M,endrie Porlu,1,68,62,50,50,35,20,80
9,A,Cerlus Teviz,0,75,75,50,50,35,20,95
10,A,Morku Vaconoc,0,83,95,50,50,35,20,90
11,A,Firnendu Llurinti,0,72,95,50,50,35,20,90
12,G,Mercu Sturero,0,50,95,50,50,35,20,80
13,D,Liunerdu Bunacco,0,62,95,50,50,35,20,80
14,M,Kwedwu Esemueh,0,76,95,50,50,35,20,80
15,M,Ertaru Vodel,0,75,65,50,50,35,20,75
16,A,Sibestoen Gouvoncu,1,80,95,50,50,35,20,75
