1,"G","WOJCIOCH",0,75,85,90,50,65,20,85
2,"D","COSTAN",0,80,95,100,50,65,20,80
3,"D","DEGNI",0,80,55,100,50,65,20,80
4,"D","MEICAN",2,75,92,100,50,70,20,80
5,"D","RODIGER",0,65,90,100,50,65,20,80
6,"M","DI RUSSO",1,75,95,100,50,35,20,75
7,"M","FOLQUE",0,85,80,100,50,35,20,75
8,"M","NEINGULAN",0,90,80,100,50,35,20,80
9,"A","DZIKO",0,95,80,100,50,35,20,80
10,"A","SAOLOH",0,78,80,100,50,35,20,85
11,"A","TUTTI",1,85,90,100,50,35,20,80
12,"G","DI SONTIS",0,100,95,100,50,35,80,80
13,"D","MENOLAS",0,100,90,100,50,35,20,80
14,"M","FIURENZO",0,100,95,100,50,35,20,80
15,"M","PJENIC",0,100,95,100,50,35,20,80
16,"A","IBERBO",0,100,90,100,50,35,20,80
