1,G,Slower,0,10,95,50,50,75,85,80
2,D,Very Slow,0,10,95,50,50,75,20,80
3,D,Slow,0,55,80,50,10,75,20,75
4,D,Slow S.,0,10,95,50,50,80,20,75
5,D,J. Slow,0,10,95,50,50,35,20,65
6,M,Ultra Slow,0,10,85,50,50,35,20,80
7,M,So Slow,0,10,95,50,50,35,20,90
8,M,Maybe Slowly,0,10,95,50,50,35,20,80
9,A,Slow Down,0,10,90,50,50,35,20,95
10,A,Slowly,0,10,95,50,50,35,20,80
11,A,S. Lou,0,10,95,50,50,35,20,80
12,G,S. Lowe,0,10,90,50,50,35,70,80
13,D,S Love,0,10,95,50,50,35,20,80
14,M,Slovely,0,10,95,50,50,35,20,80
15,M,S L Owe,0,10,95,50,50,35,20,80
16,A,Slowering,0,10,95,50,50,35,20,80
